SubjCodepanasneu,Subject,Distraction,Interested,panasneuDistressed,panasneuExcited,panasneuUpset,panasneuStrong,panasneuGuilty,panasneuScared,panasneuHostile,panasneuEnthusiastic,panasneuProud,panasneuIrritable,panasneuAlert,panasneuAshamed,panasneuInspired,panasneuNervous,panasneuDetermined,panasneuAttentive,panasneuJittery,panasneuActive,panasneuAfraid,Subject
1,1,B,2,1,2,1,3,1,1,1,3,2,1,2,1,3,1,1,3,1,3,1,1
2,2,C,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,3,C,2,1,2,1,5,1,1,1,2,3,1,3,1,1,1,3,2,1,1,1,3
4,4,A,4,1,4,1,4,1,1,1,4,2,1,4,1,2,1,4,4,1,4,1,4
5,5,B,3,1,3,1,4,1,1,1,3,4,1,3,1,3,2,4,3,2,3,1,5
6,6,,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,6
7,7,,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,3,3,2,3,1,7
8,8,A,2,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,8
9,9,B,3,1,4,1,8,2,1,2,4,4,1,3,2,2,3,4,4,4,3,1,9
10,10,B,4,1,4,1,2,1,1,1,4,2,1,3,1,2,1,3,4,1,3,1,10
11,11,C,2,1,1,1,1,1,1,1,2,1,2,4,1,1,2,1,3,1,1,1,11
12,12,A,4,1,2,1,1,1,1,1,3,1,2,2,1,2,2,3,3,1,2,1,12
13,13,A,2,1,1,1,3,1,1,1,2,4,1,4,1,2,1,3,4,1,4,1,13
14,14,B,2,1,2,1,2,1,1,1,3,3,2,3,1,1,1,3,3,1,4,1,14
15,15,B,2,1,2,1,1,2,1,1,3,2,2,2,2,1,2,3,2,2,2,1,15
16,16,C,2,2,2,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,16
17,17,B,3,1,3,1,4,1,1,1,4,4,2,3,1,3,1,4,4,2,4,1,17
18,18,B,3,1,2,1,3,1,1,1,2,2,1,4,1,3,1,3,3,1,3,1,18
19,19,,2,4,2,4,4,1,2,3,2,5,2,3,1,2,3,4,3,4,2,2,19
20,20,B,4,1,2,1,4,1,1,1,3,3,1,4,1,1,1,4,4,1,1,1,20
21,21,C,5,1,4,1,5,1,1,1,4,4,1,5,1,4,1,4,5,1,4,1,21
22,22,C,1,1,2,1,1,2,1,1,2,1,2,5,1,1,1,1,5,1,5,1,22
23,23,A,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,23
24,24,B,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,24
25,25,B,3,1,2,1,3,1,1,1,1,2,1,3,1,2,1,2,3,1,3,1,25
26,26,C,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,26
27,27,C,1,1,1,1,1,1,1,1,2,2,1,3,1,2,1,2,3,1,1,1,27
28,28,B,4,1,5,1,3,1,1,1,4,5,1,3,1,4,1,4,4,2,3,1,28
29,29,B,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,29
30,30,A,3,1,2,1,3,1,1,1,2,3,4,3,1,1,1,3,3,1,3,1,30
31,31,A,4,3,3,1,1,1,2,2,4,1,1,4,2,1,3,3,4,2,4,4,31
32,32,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32
33,33,C,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,4,2,1,2,33
34,34,A,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,3,1,2,1,34
35,35,B,3,1,4,1,2,1,1,1,3,3,2,3,1,2,1,3,4,1,4,1,35
36,36,B,2,1,2,2,3,1,1,1,2,3,1,3,2,3,2,3,2,1,2,1,36
37,37,B,2,2,2,2,1,1,1,2,2,1,4,3,1,1,1,2,3,1,1,1,37
38,38,B,1,2,2,1,1,1,1,1,1,1,3,4,1,1,3,3,4,4,3,1,38
39,39,A,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,39
40,40,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40
41,41,A,1,5,1,5,1,1,1,5,1,5,5,1,1,1,1,1,1,5,1,1,41
42-c2,42,C,2,1,1,1,3,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,42
43-b5,43,B,4,1,2,1,1,1,1,1,3,1,3,4,1,1,1,1,4,2,2,1,43
44-a6,44,A,4,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,3,1,1,1,44
45-b4,45,B,3,2,3,1,1,1,1,1,2,1,3,3,1,1,1,1,4,2,1,1,45
46-c3,46,C,4,1,4,3,2,1,1,1,4,1,1,1,1,2,1,2,4,1,1,1,46
47-c4,47,C,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,47
48-a5,48,A,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,3,1,2,1,48
49-b6,49,B,2,1,3,1,4,1,1,1,3,4,1,3,1,3,1,4,4,2,3,1,49
50-b2,50,B,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,50
51-c5,51,C,2,1,2,1,3,1,1,1,5,3,1,3,1,1,1,2,3,2,2,1,51
52-b5,52,B,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,52
53-a5,53,A,2,1,1,1,2,1,1,1,1,1,1,4,1,2,2,2,4,1,2,1,53
54-b6,54,B,4,1,1,1,1,1,1,1,2,2,2,4,1,2,1,2,4,1,2,2,54
55-c2,55,C,4,1,1,3,5,1,1,1,3,1,1,4,1,1,1,2,3,3,1,1,55
56-b6,56,B,2,1,2,1,4,1,1,1,2,1,1,4,1,1,1,4,4,1,3,1,56
57-b4,57,B,3,1,3,1,2,1,1,1,2,3,2,3,1,3,1,3,3,1,2,1,57
58-a2,58,A,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,3,2,2,2,1,58
59-c5,59,C,1,4,1,2,1,1,1,1,1,1,1,2,2,1,4,4,4,1,1,0,59
60-b3,60,B,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,60
61-c6,61,C,4,1,3,1,4,1,1,1,3,3,1,4,1,3,1,4,3,1,3,1,61
62-b2,62,B,2,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,62
63-b4,63,B,3,1,3,1,2,1,1,4,2,3,2,2,1,1,2,1,3,2,3,1,63
64-a2,64,A,2,1,2,1,3,1,1,1,1,1,2,3,1,1,2,3,3,1,3,1,64
65-c2,65,C,4,3,3,2,3,1,1,2,2,1,2,3,1,1,2,1,2,1,1,1,65
66-b5,66,B,3,1,2,1,1,2,1,1,3,2,1,3,1,1,1,2,3,1,2,1,66
67-a6,67,A,4,2,3,1,3,1,1,1,4,2,1,4,1,2,1,3,4,1,4,1,67
68-b3,68,B,4,1,3,1,4,1,1,1,3,4,2,3,1,2,1,2,4,1,1,1,68
69-c4,69,C,2,1,2,1,3,1,1,1,2,3,1,2,1,2,2,3,3,1,2,1,69
70-c6,70,C,5,1,3,1,3,1,1,1,1,1,1,1,1,1,1,2,5,5,1,1,70
71-b5,71,B,2,2,3,1,2,1,1,1,3,2,3,2,2,2,3,2,2,3,2,1,71
72-b2,72,B,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,4,1,2,1,72
73-a3,73,A,1,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,,,,73
74-a4,74,A,4,2,4,2,3,1,1,1,5,4,1,3,2,4,2,4,5,2,4,1,74
75-b4,75,B,4,1,2,1,1,1,1,1,3,1,1,5,1,3,1,3,3,1,2,1,75
76-b3,76,B,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,76
77-c2,77,C,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,77
78-c4,78,C,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,3,1,2,1,78
79-b6,79,B,3,1,3,1,1,1,1,1,3,1,2,1,1,3,1,3,4,1,1,1,79
80-a6,80,A,1,2,1,3,2,1,1,1,1,3,4,2,1,1,1,1,2,1,1,1,80
81-b5,81,B,2,1,3,1,1,1,1,1,2,1,1,4,1,1,2,3,4,1,3,1,81
82-a3,82,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,82
83-c2,83,C,2,4,4,1,2,2,1,1,4,3,2,4,2,5,1,5,5,2,4,1,83
84-a4,84,A,3,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,84
85-c3,85,C,1,2,3,1,3,1,1,1,2,3,1,4,1,2,3,2,4,2,3,1,85
86-b3,86,B,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,4,1,1,86
